Year,Mexico,European Union-27,Canada,Brazil,China,Rest of world,Total amount of countries imports per year
2000,6,10,12,1,2,10,41
2001,7,11,13,1,2,12,46
2002,7,12,13,1,2,13,48
2003,8,13,14,2,2,15,54
2004,9,15,15,2,3,16,60
2005,10,16,17,2,3,19,67
2006,11,17,18,3,4,22,75
2007,12,18,19,3,5,25,82
2008,13,18,20,3,5,26,85
2009,13,18,20,3,6,25,85
2010,14,19,22,3,7,28,93
2011,16,20,23,4,7,33,103
2012,17,21,24,4,8,35,109
2013,18,23,25,4,9,37,116
2014,19,24,26,4,9,39,121
2015,19,25,27,4,9,40,124
2016,20,26,27,4,10,41,128
2017,23,28,28,4,10,45,138
2018,26,30,29,4,10,47,146
2019,27,32,30,4,11,47,151
2020,32,35,33,5,12,53,170
2021,37,38,35,5,13,62,190
2022,42,42,38,6,14,63,205
2023,45,40,39,6,13,51,194
Total amount of imports per country,451,551,567,82,176,804,_
Total amount of import goods ,_,_,_,_,_,_,2631
% of US imports per country,17.10%,20.90%,21.60%,3.10%,6.70%,30.60%,
Growth over 23 years,_,_,_,_,_,_,4.73
,,,,,,,
Amounts in millions,,,,,,,
Currency in $,,,,,,,
